vm;nytt
Registrerings_id;regid
Vannlok_kode;lokid
Aktivitet_id;aktid
Oppdragsgiver;oppdrg
Oppdragstaker;oppdrt
Parameter_id;parid
Medium_id;medium
LatinskNavn_id;navnid
VitenskapligNavn;vitnavn
Provetakmetode_id;provmet
Analysemetode_id;analmet
Tid_provetak;tidpkt
Ovre_dyp;odyp
Nedre_dyp;ndyp
DybdeEnhet;dypenh
Filtrert_Prove;filt
UnntasKlassifisering;unntas
Operator;operator
Verdi;verdi
Enhet_id;enhet
Provenr;provnr
Deteksjonsgrense;detgr
Kvantifiseringsgrense;kvantgr
Opprinnelse;n1
Ant_verdier;antverdi
Kommentar;n2
Arkiv_id;n3
ID_lokal;n4
