L;R;C;nytt
VannforekomstID;VannforekomstID;VannforekomstID;id
Vannforekomstnavn;Vannforekomstnavn;Vannforekomstnavn;nam
Naturlig.eller.SMVF;Naturlig.eller.SMVF;;smvf
Vanntype;Vanntype;Vanntype;typ
Nasjonal.vanntype;Nasjonal.vanntype;Nasjonal.vanntype;nas
Interkalibreringstype;Interkalibreringstype;Interkalibreringstype;int
;;;kat
Økoregion;Økoregion;Økoregion.kyst;reg
Klimasone;Klimasone;;son
Størrelse.innsjøareal;Størrelseinnsjøareal;;sto
Kalsium;Kalsium;;alk
Humus;Humus;;hum
Tubiditet;Tubiditet;;tur
Dybde;;;dyp
;;Kysttype;kys
;;Salinitet;sal
;;Tidevann;tid
;;Bølgeeksponering;eks
;;Miksing.i.vannsøylen;mix
;;Oppholdstid;opp
;;Strømhastighet;str
Påvirkningstype;Påvirkningstype;Påvirkningstype;n1
Påvirkningsgrad;Påvirkningsgrad;Påvirkningsgrad;n2
Økologisk.tilstand;Økologisk.tilstand.eller.potensial;Økologisk.tilstand;okotil
Økologisk.potensial;;Økologisk.potensial;okopot
Kjemisk.tilstand;Kjemisktilstand;Kjemisk.tilstand;kjetil
Økologisk.tilstand.miljømål;Økologisk.miljømål;Økologisk.tilstand.miljømål;okomal
Økologisk.potensial.miljømål;;Økologisk.potensial.miljømål;potmal
Kjemisk.miljømål;Kjemisk.miljømål;Kjemisk.miljømål;kjemal
Vannregionkoordinator;Vannregionkoordinator;Vannregionkoordinator;n3
Vannregion;Vannregion;Vannregion;region
Vannområde;Vannområde;Vannområde;omraade
VassdragsområdeID;VassdragsområdeID;VassdragsområdeID;n4
Vassdragsområde;Vassdragsområde;Vassdragsområde;vassdrag
Endret.dato;Endret.dato;Endret.dato;n5
Kommunenummer;Kommunenummer;Kommunenummer;knr
Kommunenavn;Kommunenavn;Kommunenavn;kommune
;;;fylke
;;;hoh
;;;areal
;;;artot
;;;lengd
;;;dybde
;;;tilsig
;;;utmx
;;;utmy
;;;lat
;;;long
